#Table: J/A+A/425/367/reflex50.dat (http://cdsarc.cds.unistra.fr)
--------------------------------------------------------------------------------------------------------------------------------------------
               |          |n|                    |      |   |       |      |       |     |       |     |   |
               |          |_|                    |      |   |       |      |       |     |       |     |   |
               |          |N|                    |      |   |       |      |       |     |       |     |   |
               |          |a|                    |      |   |       |      |       |     |       |     |   |
               |          |m| R  R        D  D  D|      |  N|       |      |       |     |       |     | No|
   RXC         |Name      |e|Ah Am  RAs  Ed Em Es|     z|gal|   Flux|e_Flux| ObsLum| Aper| LumCor|   NH|tes|r_
---------------|----------|-|--------------------|------|---|-------|------|-------|-----|-------|-----|---|--------------------------------
RXCJ0331.1-2100|          | |03 31 07.3 -21 00 12|0.1880|  9|  4.044|  24.5|  6.056|  4.5|  7.296|  2.5|X *|E
RXCJ0334.9-5342|APMCC421  |f|03 34 56.2 -53 42 08|0.0619|  4|  3.323|  11.9|  0.555| 14.0|  0.572|  1.2|   |24,17,164
RXCJ0336.3-4037|A3140     | |03 36 18.7 -40 37 20|0.1729|  9|  5.619|  15.4|  7.152|  8.0|  7.774|  1.4|   |E
RXCJ0336.3-0347|          | |03 36 22.9 -03 47 29|0.1595|  3|  3.745|  15.9|  4.100|  9.5|  4.271|  4.9|X *|E
RXCJ0337.0-3949|A3142     | |03 36 60.0 -39 49 12|0.1030| 21|  3.298|  23.6|  1.517| 10.0|  1.597|  1.8|   |2
RXCJ0338.4-3526|FORNAX    | |03 38 27.9 -35 26 54|0.0051| 32| 21.272|  11.1|  0.024| 19.0|  0.032|  1.5|B  |166,167,168,170,171
RXCJ0340.1-5503|IC 1987   | |03 40 08.6 -55 03 14|0.0464|  1|  3.803|  12.0|  0.356| 17.0|  0.363|  2.2|L  |17,164
RXCJ0340.1-1835|NGC1407   |g|03 40 11.4 -18 35 15|0.0056|  4|  3.443|  14.0|  0.005| 14.5|  0.006|  5.2|   |172
RXCJ0340.6-0239|          | |03 40 41.8 -02 39 57|0.0352|  2|  7.923|  10.6|  0.425| 17.5|  0.447|  7.3|   |E
RXCJ0340.8-4542|RBS 0459  |c|03 40 49.3 -45 42 19|0.0698|  9|  3.981|  14.0|  0.846| 10.5|  0.900|  1.6|   |E
RXCJ0342.8-5338|A3158     | |03 42 53.9 -53 38 07|0.0590|105| 36.247|   3.3|  5.447| 30.0|  5.558|  1.1|L  |2
RXCJ0345.7-4112|S0384     | |03 45 45.7 -41 12 27|0.0603|  1|  5.763|  18.9|  0.913| 11.5|  0.982|  1.9|   |E,29,30
RXCJ0345.9-2416|A0458     | |03 45 56.0 -24 16 49|0.1057| 30|  5.510|  10.0|  2.656|  9.5|  2.856|  1.6|   |1
RXCJ0346.1-5702|A3164     | |03 46 09.6 -57 02 60|0.0570|  3|  7.465|  12.7|  1.056| 20.0|  1.067|  2.6|L  |146
RXCJ0347.0-2900|A3165     | |03 47 00.2 -29 00 13|0.1419|  3|  4.041|  22.0|  3.498|  8.0|  3.761|  0.9|   |19,173
RXCJ0351.1-8212|S0405     | |03 51 08.9 -82 12 60|0.0613|  2| 14.078|   8.0|  2.291| 16.5|  2.412|  7.7|L  |E,27
RXCJ0352.3-5453|RBS 0485  |c|03 52 20.7 -54 53 09|0.0447|  2|  3.798|  25.9|  0.329| 13.0|  0.346|  3.0|   |E
RXCJ0358.8-2955|A3192     | |03 58 50.5 -29 55 18|0.1681| 13|  3.060|  13.3|  3.696|  7.5|  3.974|  1.0|   |E
RXCJ0359.1-0320|          | |03 59 09.2 -03 20 28|0.1220|  4|  3.546|  17.1|  2.271|  8.5|  2.416|  8.2|   |E
RXCJ0408.2-3053|A3223     | |04 08 16.2 -30 53 40|0.0600| 81|  8.186|   8.8|  1.279| 16.0|  1.332|  1.8|   |E,2
RXCJ0413.9-3805|          | |04 13 57.1 -38 05 60|0.0501| 22| 12.608|   7.7|  1.368| 15.0|  1.471|  1.4|B  |E,31,96,144
RXCJ0419.6+0224|NGC1550   | |04 19 37.8 +02 24 50|0.0131|  7| 40.095|   6.1|  0.295| 22.0|  0.351| 11.6|L  |11,64,123,174
RXCJ0425.8-0833|RBS 0540  |c|04 25 51.4 -08 33 33|0.0397|  2| 28.011|   5.8|  1.898| 13.5|  2.233|  6.4|X  |E,175,176
RXCJ0429.1-5350|S0463     | |04 29 07.8 -53 50 51|0.0400| 28|  4.018|  16.5|  0.278| 10.0|  0.309|  0.8|   |19,72,74,177
RXCJ0431.4-6126|A3266     | |04 31 24.1 -61 26 38|0.0589|317| 49.640|   1.8|  7.421| 18.0|  8.246|  1.5|   |155
RXCJ0433.6-1315|A0496     | |04 33 38.4 -13 15 33|0.0326|143| 72.075|   3.7|  3.309| 19.0|  3.893|  5.7|   |120,130,152,178,179
RXCJ0437.1-2027|A0499     | |04 37 07.2 -20 27 26|0.1550|  2|  3.430|  56.5|  3.563| 13.0|  3.599|  2.6|X  |E
RXCJ0437.1+0043|          | |04 37 10.1 +00 43 38|0.2842|  5|  3.942|  13.0| 13.338|  8.5| 14.040|  8.2|   |E
RXCJ0438.9-2206|A0500     | |04 38 54.7 -22 06 49|0.0670|  3|  6.168|  16.1|  1.196| 10.0|  1.314|  2.8|   |29
RXCJ0445.1-1551|NGC1650   | |04 45 10.0 -15 51 01|0.0360|  3|  8.634|  10.3|  0.485| 16.0|  0.522|  4.8|   |120
RXCJ0448.2-2028|A0514     | |04 48 12.2 -20 28 11|0.0720| 90|  8.583|   8.8|  1.926| 15.5|  2.006|  3.2|   |2
RXCJ0449.9-4440|A3292     | |04 49 55.2 -44 40 41|0.1501|  2|  4.418|  13.7|  4.267|  6.0|  4.905|  1.5|   |E
RXCJ0454.1-1014|A0521     | |04 54 09.1 -10 14 19|0.2475| 42|  4.942|  16.6| 12.707| 11.5| 12.966|  5.4|   |E,180
RXCJ0454.8-1806|CID 28    |b|04 54 50.3 -18 06 33|0.0335| 17|  5.539|  11.8|  0.269| 12.5|  0.296|  4.2|   |E,120
